1,数组
2,字符串
3,排序
4,动态规划
5,搜索
6,贪心
7,查找
8,树
9,栈/队列
10,堆
11,图
12,链表
13,集合
14,位运算
15,数学
16,博弈
17,类
18,程序基本结构
