1,1001,15,17,18
1,1002,15,17,18
1,1003,15,17,18
1,1004,15,17,18
1,1005,15,17,18
1,1006,1,15,18
1,1007,15,17,18
1,1008,15,17,18
1,1009,3,15,17
1,1010,3,12,17
1,1011,12,13,17
1,1012,12,13,17
1,1013,15,17,18
1,1014,3,15,17
1,1015,15,17,18
1,1016,15,17,18
1,1017,12,15,18
1,1018,12,15,17
1,1019,1,15,18
1,1020,1,15,17
1,1021,3,1,17
1,1022,12,17,18
1,1023,12,15,3
1,1025,12,13,3
1,1026,1,4,3
1,1028,2,9,3
1,1030,15,15,3
1,1033,17,17,3
1,1035,1,4,3
1,1036,1,3,3
1,1044,1,13,3
1,1045,1,2,3
1,1046,1,2,3
1,1047,1,2,3
1,1062,18,18,18
1,1063,18,18,3
1,1064,18,18,3
1,1065,4,5,3
1,1066,15,15,3
1,1067,5,11,3
1,1068,14,15,3
1,1070,6,15,3
1,1071,14,14,3
1,1072,15,15,3
1,1073,1,4,3
1,1074,7,15,18
1,1075,16,16,18
1,1076,1,1,7
1,1077,1,3,3
1,1078,5,11,11
1,1079,5,5,11
1,1080,2,4,3
1,1081,5,11,3
1,1082,4,4,3
1,1083,15,15,3
1,1084,5,8,3
1,1085,1,6,3
1,1088,1,15,3
1,1089,1,18,3
1,1090,1,2,3
1,1091,18,18,3
1,1092,1,3,3
1,1093,1,15,3
1,1094,4,5,3
1,1095,5,5,3
1,1096,2,10,3
1,1097,1,2,3
1,1098,1,5,11
1,1099,1,4,3
1,1100,1,4,3
1,1101,2,6,3
1,1104,1,1,3
1,1107,1,15,15
1,1108,2,4,3
1,1110,15,15,3
1,1113,5,11,3
1,1114,1,15,15
1,1115,1,15,18
1,1116,11,5,15
1,1117,1,15,18
1,1122,1,2,18
1,1123,1,2,18
1,1124,15,16,16
1,1126,1,15,18
1,1127,6,15,18
1,1128,6,15,18
1,1129,6,15,18
1,1131,1,15,3
1,1133,15,18,18
1,1134,15,15,3
1,1136,15,18,3
1,1138,5,5,11
1,1141,4,15,18
