1,1062,0.383451957
1,1107,0.666666667
1,1115,0.7
1,1116,1
1,1063,0.433670034
1,1064,0.285140562
1,1008,0.358974359
6,1073,0.431095406
6,1055,0.468888889
6,1049,0.294924554
6,1048,0.357053683
6,1045,0.243611584
1,1006,0.25
1,1175,0.5625
1,1176,0.248037677
1,1177,0.666666667
1,1178,1
1,1133,0.191176471
1,1134,0.230769231
6,1046,0.399491094
6,1050,0.35359116
6,1053,0.336633663
6,1052,0.314252336
1,1108,0.428571429
6,1054,0.276097561
6,1007,0.253968254
6,1056,0.618947368
6,1057,0.383580081
6,1058,0.22758941
6,1059,0.197300104
6,1060,0.310218978
6,1063,0.246943765
6,1051,0.428571429
6,1047,0.281329923
6,1061,0.22681883
6,1006,0.213142376
6,1062,0.370870871
6,1064,0.361921098
6,1065,0.321759259
6,1066,0.305818674
6,1067,0.386066763
6,1068,0.288321168
6,1069,0.325949367
6,1070,0.224753695
6,1071,0.275479314
6,1072,0.30261348
6,1000,0.331905782
6,1001,0.233333333
1,1091,0.474034621
6,1074,0.405633803
6,1075,0.576086957
6,1076,0.300283286
6,1002,0.339108911
6,1032,0.328185328
6,1019,0.207021792
6,1029,0.191715976
6,1008,0.383477189
1,1089,0.266216216
6,1077,0.283410138
6,1079,0.504918033
6,1080,0.195592287
6,1095,0.619565217
6,1098,0.28313253
6,1030,0.229540918
6,1009,0.301173403
1,1001,0.348623853
1,1149,0.307086614
6,1014,0.229555237
1,1141,0.451162791
1,1020,0.217391304
1,1002,0.217440544
6,1003,0.385514019
6,1004,0.339943343
6,1005,0.312408759
6,1012,0.228282828
6,1013,0.229601518
1,1003,0.245098039
1,1026,1
6,1028,0.374285714
6,1011,0.29218107
6,1015,0.243939394
6,1036,0.371257485
1,1148,0.471910112
1,1142,0.490566038
6,1096,0.5375
6,1097,0.420168067
6,1100,0.283216783
6,1108,0.526315789
6,1025,0.291486291
6,1026,0.228482003
6,1034,0.177380952
6,1027,0.281818182
6,1035,0.144385027
6,1031,0.290909091
6,1033,0.313868613
1,1150,0.28358209
6,1021,0.12987013
6,1024,0.285171103
1,1146,0.255033557
1,1090,0.276990185
6,1020,0.363354037
6,1023,0.202298851
6,1044,0.288135593
6,1101,0.235576923
6,1010,0.456896552
1,1007,0.295081967
1,1004,0.333333333
1,1005,0.434782609
6,1110,0.460122699
1,1030,0.133333333
1,1179,0.666666667
1,1075,0.4
6,1103,0.271604938
6,1104,0.8
6,1105,0.319148936
6,1106,0.344827586
1,1147,0.401315789
1,1045,0.333333333
1,1046,0.442622951
13,1000,0.570833333
6,1102,0.527027027
6,1022,0.257035647
13,1009,0.690721649
13,1010,0.459770115
13,1011,0.357142857
13,1014,0.4
13,1015,0.208333333
13,1016,0.422222222
1,1211,0.5
1,1212,0.5
13,1017,0.2
13,1018,0.074074074
6,1099,0.151162791
6,1107,0.4
13,1013,0.238095238
13,1001,0.431578947
13,1002,0.347368421
13,1007,0.28125
1,1009,0.408163265
1,1019,0.21875
1,1017,0.428571429
1,1092,0.104651163
1,1010,0.260869565
1,1011,0.344352617
8,1000,0.144989339
8,1009,0.238562092
8,1002,0.238605898
8,1003,0.156926407
8,1005,0.361502347
8,1006,0.288288288
8,1008,0.177966102
8,1010,0.273684211
1,1012,0.308823529
8,1012,0.209543568
8,1013,0.334763948
1,1018,0.5625
8,1004,0.197707736
1,1013,0.230088496
1,1014,0.396226415
1,1095,0.081632653
1,1065,0.6
8,1011,0.20754717
8,1007,0.22972973
1,1015,0.45
13,1019,0.793103448
13,1008,0.352517986
13,1003,0.133333333
13,1004,0.18
13,1012,0.160714286
13,1006,0.064516129
13,1005,0.15
1,1101,0.122171946
1,1047,0.346153846
1,1068,0.2
1,1122,0.241666667
1,1123,0.111111111
13,1020,0.082568807
13,1023,0.064516129
13,1021,0.04
13,1026,0.197530864
13,1027,0.384615385
13,1022,0.22
1,1088,0.315789474
1,1138,0.137614679
1,1072,0.25
1,1093,0.171428571
1,1094,0.166666667
1,1098,0.2
1,1096,0.363636364
1,1099,0.32
1,1100,0.1
1,1035,0.3
1,1036,0.3
1,1070,0.25
1,1044,0.318181818
1,1126,0.2
1,1154,0.04
1,1169,0.4
1,1170,0.290322581
7,1000,0.205555556
1,1117,0.5
7,1001,0.395136778
7,1003,0.244111349
7,1004,0.300653595
7,1005,0.373076923
7,1006,0.372670807
7,1007,0.394366197
7,1008,0.314102564
7,1009,0.275
7,1011,0.287878788
7,1012,0.33447099
7,1013,0.376681614
7,1014,0.34375
7,1015,0.378205128
7,1017,0.322033898
1,1182,0.23
1,1028,0.18
1,1022,0.338842975
7,1018,0.32
1,1023,0.306930693
1,1025,0.23715415
1,1155,1
1,1131,0.266666667
8,1014,0.19047619
8,1016,0.154394299
8,1017,0.180156658
8,1015,0.176165803
8,1018,0.130434783
1,1136,0.125
1,1016,0.325
1,1033,0.169230769
8,1021,0.263027295
8,1022,0.209770115
8,1023,0.2125
8,1020,0.453488372
8,1019,0.145214521
8,1025,0.136116152
8,1026,0.229090909
8,1030,0.36407767
8,1029,0.290322581
8,1027,0.2228739
8,1031,0.401709402
8,1028,0.407407407
1,1152,0.171428571
1,1207,1
8,1032,0.165829146
8,1033,0.272727273
8,1034,0.282608696
8,1035,0.125
8,1037,0.444444444
8,1036,0.263157895
1,1196,0.2
7,1031,0.710526316
7,1032,0
7,1019,0.441860465
1,1143,0.393258427
1,1197,0.2
1,1153,0.096774194
7,1024,0.561403509
9,1063,0.366666667
9,1065,0.1125
9,1066,0.428571429
9,1024,0.35
1,1145,0.120879121
1,1194,0.3
1,1190,0.3
9,1008,0.25
9,1006,0.263157895
9,1014,0.157894737
9,1016,0.375
9,1018,0.034482759
9,1009,0.125
9,1023,0.23
9,1020,0
1,1081,0.2
9,1011,0
9,1012,0
9,1064,0.3
8,1040,0.172932331
8,1041,0.33
8,1042,0.182926829
8,1043,0.238095238
8,1044,0.37037037
9,1025,0.31
1,1168,0.35
1,1087,0.1875
1,1193,0.25
6,1082,0.413793103
6,1081,0.518518519
6,1087,0.189922481
6,1088,0.4
6,1084,0.252631579
6,1083,0.306358382
6,1085,0.086614173
6,1086,0.303030303
6,1089,0.214285714
6,1090,0.29787234
6,1091,0.320512821
6,1092,0.168831169
6,1093,0.38
1,1114,0.090909091
1,1119,0.142857143
1,1120,0.5
1,1121,1
1,1132,1
1,1135,0.333333333
1,1137,0.5
1,1139,0.27
1,1140,1
1,1128,1
1,1129,0.2
1,1151,0.21
1,1160,0.2
1,1180,0.5
1,1097,0.111111111
1,1201,0.23
1,1171,0.28
1,1173,0.32
1,1192,0.3
9,1022,0.25
1,1183,1
7,1020,0.551724138
1,1021,1
7,1042,0.35
7,1041,0.36
7,1048,0.3
7,1040,0.34
7,1044,0.24
7,1047,0.4
1,1031,0.75
1,1034,0.5
1,1032,0.5
7,1043,0.38
1,1066,1
1,1204,0.28
